slugTeam,experience
GSW,2948.044169811904
LAC,2787.1486840984144
BOS,2128.0541377400236
LAL,2107.6491254441853
MIL,1919.2042502488093
PHX,1823.1826340911507
MIA,1773.519349408188
DEN,1369.3250038462224
PHI,1199.8205533169564
MIN,847.3406359886658
DAL,750.7249164248775
MEM,746.559229704123
CHI,692.3249216717413
ATL,689.7459467838864
BKN,628.6023480547267
CLE,551.3510940523341
SAC,548.0613054502555
NYK,499.4867847035247
POR,494.9083700413872
NOP,490.7837920279197
TOR,430.3940965081279
IND,392.4353707309191
WAS,358.72945312156895
HOU,278.22946122012803
UTA,244.30880187172548
CHA,132.42217746515334
ORL,98.75985048048179
OKC,90.7714461102975
DET,85.39262648142913
SAS,46.734230166281094
