slugTeam,experience,season
LAL,3063.616464843673,2011
BOS,2723.929624469487,2011
SAS,2491.5304055979886,2011
DAL,2285.74831461623,2011
DET,1835.0452358345156,2011
MIA,1562.0438829412658,2011
NYK,1303.7369353493748,2011
PHX,1250.1061098971645,2011
ORL,1094.5782333397472,2011
ATL,902.9475222637816,2011
CHI,755.2202937465188,2011
UTA,750.7388364812762,2011
CLE,731.1784741276463,2011
DEN,634.9875408298534,2011
CHA,606.9484204314618,2011
POR,566.9229535590814,2011
WAS,545.8858484064039,2011
NJN,482.8798796325657,2011
OKC,398.35630604723775,2011
MIL,388.69457850237853,2011
NOH,382.81071323855394,2011
HOU,369.81227481117816,2011
TOR,282.68625050509587,2011
PHI,276.8989951488168,2011
MEM,194.03039813055133,2011
LAC,171.94659934180507,2011
IND,170.82069358290707,2011
GSW,155.40390262746672,2011
MIN,129.0146928279736,2011
SAC,102.48996172238337,2011
DAL,2836.7181060512207,2012
BOS,2367.1412585217263,2012
LAL,2285.049648147019,2012
SAS,2259.408020464835,2012
MIA,1783.8112728555454,2012
CHI,1385.6930310553175,2012
OKC,1266.499721449373,2012
ORL,1238.7035239794525,2012
LAC,1202.1233249174165,2012
DET,1134.8097259263277,2012
ATL,1106.461940790802,2012
PHX,1002.083250410574,2012
NYK,908.1946535409444,2012
UTA,631.7427618586299,2012
CLE,546.289572193245,2012
NJN,537.1432311700936,2012
POR,471.559524083158,2012
IND,457.8189772651224,2012
HOU,451.63865407426584,2012
GSW,409.30760991693023,2012
MEM,404.09741150002344,2012
WAS,403.2950586810223,2012
DEN,379.8177214506893,2012
PHI,350.72838990076247,2012
MIL,312.2364887775934,2012
NOH,277.0365020604758,2012
MIN,169.5619150572639,2012
TOR,123.8712181959088,2012
SAC,105.64763518023608,2012
CHA,71.08348477153807,2012
LAL,3019.7257525482896,2013
MIA,2811.530320594836,2013
SAS,2519.659416790514,2013
BOS,2135.8633864985386,2013
NYK,1730.924665323035,2013
DAL,1609.7564287791397,2013
